"","x","y","area"
"464",16467,20174,"domain_1"
"465",7128,20333,"domain_2"
"466",13439,20758,"domain_4"
"467",17227,21478,"domain_1"
"468",19983,8272,"domain_1"
"469",7373,15835,"domain_2"
"470",18725,11030,"domain_1"
"471",5597,9890,"domain_2"
"472",10149,15106,"domain_2"
"473",6104,11340,"domain_2"
"474",20739,7545,"domain_1"
"475",19732,9288,"domain_3"
"476",15691,7553,"domain_1"
"477",11924,20180,"domain_4"
"478",9151,22941,"domain_2"
"479",18227,15093,"domain_3"
"480",15955,15242,"domain_1"
"481",21513,18135,"domain_3"
"482",8369,6549,"domain_4"
"483",20760,21182,"domain_3"
"484",14453,23368,"domain_4"
"485",16197,8423,"domain_1"
"486",12928,16407,"domain_4"
"487",10639,5240,"other"
"488",14442,16405,"domain_4"
"489",5861,17288,"domain_2"
"490",21262,19151,"domain_3"
"491",12938,23371,"domain_2"
"492",12926,15246,"domain_4"
"493",18232,18575,"domain_1"
"494",15705,17128,"domain_1"
"495",4850,16709,"domain_2"
"496",20995,9431,"domain_3"
"497",7877,15254,"domain_2"
"498",13189,22355,"domain_4"
"499",17204,6390,"domain_1"
"500",6375,23381,"domain_2"
"501",11413,16409,"domain_2"
"502",10647,10753,"domain_4"
"503",6355,10324,"domain_2"
"504",12165,13071,"domain_6"
"505",11410,14378,"domain_2"
"506",7111,9597,"domain_2"
"507",4593,13663,"domain_2"
"508",6621,18883,"domain_2"
"509",7364,9742,"domain_2"
"510",12930,18148,"domain_4"
"511",13427,12634,"domain_4"
"512",15455,18144,"domain_1"
"513",16715,16836,"domain_1"
"514",19240,17413,"domain_3"
"515",3849,22514,"domain_2"
"516",10655,15975,"domain_2"
"517",11676,23518,"domain_2"
"518",14441,15534,"domain_4"
"519",4845,13228,"domain_2"
"520",21241,5514,"domain_5"
"521",11154,12202,"domain_6"
"522",14932,6539,"domain_1"
"523",11924,20471,"domain_4"
"524",22505,6527,"domain_3"
"525",10905,14089,"domain_2"
"526",13670,6686,"domain_4"
"527",19224,6967,"domain_1"
"528",17986,22492,"domain_4"
"529",17227,21768,"domain_1"
"530",22758,6962,"domain_3"
"531",14957,23077,"domain_4"
"532",10655,15685,"domain_2"
"533",13435,17857,"domain_4"
"534",16952,7116,"domain_1"
"535",14435,11472,"domain_4"
"536",19996,16396,"domain_3"
"537",15946,9149,"domain_1"
"538",13165,6687,"domain_4"
"539",6876,20768,"domain_2"
"540",11922,19310,"domain_4"
"541",8119,8435,"domain_2"
"542",9379,6837,"domain_4"
"543",17734,23218,"domain_4"
"544",5600,11921,"domain_2"
"545",16699,6391,"domain_1"
"546",9382,9159,"domain_4"
"547",16206,14516,"domain_1"
"548",10398,13219,"domain_2"
"549",16721,21189,"domain_1"
"550",14176,7555,"domain_4"
"551",16213,19158,"domain_1"
"552",17209,9872,"domain_1"
"553",18995,22491,"domain_3"
"554",4093,16566,"domain_2"
"555",5865,19900,"domain_2"
"556",10901,11768,"domain_4"
"557",19736,11609,"other"
"558",20996,10011,"domain_3"
"559",10406,17862,"domain_2"
"560",18471,10015,"domain_1"
"561",13924,7701,"domain_4"
"562",11148,7850,"domain_4"
"563",18489,21331,"domain_1"
"564",8647,23522,"domain_2"
"565",7876,14384,"domain_2"
"566",9887,9158,"domain_4"
"567",5616,22366,"domain_2"
"568",4591,12503,"domain_2"
"569",15963,20464,"domain_1"
"570",10918,22793,"domain_2"
"571",23035,22775,"domain_3"
"572",4103,23239,"domain_2"
"573",5359,19320,"domain_2"
"574",6627,23235,"domain_2"
"575",11910,11476,"domain_6"
"576",23263,6961,"domain_3"
"577",20003,21039,"domain_3"
"578",7888,22218,"domain_2"
"579",13928,10602,"domain_4"
"580",7617,10177,"domain_2"
"581",15453,16983,"domain_1"
"582",19994,15526,"domain_3"
"583",9145,19169,"domain_2"
"584",11160,15974,"domain_2"
"585",22758,6672,"domain_3"
"586",9136,13076,"domain_2"
"587",7379,19317,"domain_2"
"588",12429,20470,"domain_4"
"589",18469,8564,"domain_1"
"590",15941,5957,"domain_1"
"591",12922,12925,"domain_6"
"592",4605,21207,"domain_2"
"593",17205,6971,"domain_1"
"594",18985,15527,"domain_3"
"595",14193,18581,"domain_4"
"596",17963,7985,"domain_1"
"597",20994,8851,"domain_3"
"598",10653,14524,"domain_2"
"599",12410,7993,"domain_4"
